Rank,Club,Country,Level,Elo,From,To
None,Dynamo Kyiv,URS,1,1267.61755371,1952-06-23,1952-06-25
None,Dynamo Kyiv,URS,1,1278.61755371,1952-06-26,1952-07-06
None,Dynamo Kyiv,URS,1,1288.61755371,1952-07-07,1952-07-08
None,Dynamo Kyiv,URS,1,1297.61755371,1952-07-09,1952-07-12
None,Dynamo Kyiv,URS,1,1305.59619141,1952-07-13,1952-07-16
None,Dynamo Kyiv,URS,1,1334.71118164,1952-07-17,1952-07-20
None,Dynamo Kyiv,URS,1,1339.24487305,1952-07-21,1952-07-23
None,Dynamo Kyiv,URS,1,1336.24487305,1952-07-24,1952-07-24
None,Dynamo Kyiv,URS,1,1350.20751953,1952-07-25,1952-07-28
None,Dynamo Kyiv,URS,1,1336.94177246,1952-07-29,1952-08-02
None,Dynamo Kyiv,URS,1,1327.61999512,1952-08-03,1952-08-05
None,Dynamo Kyiv,URS,1,1325.61657715,1952-08-06,1952-08-08
None,Dynamo Kyiv,URS,1,1317.80773926,1952-08-09,1952-08-17
None,Dynamo Kyiv,URS,1,1326.09863281,1952-08-18,1952-09-03
None,Dynamo Kyiv,URS,1,1327.35595703,1952-09-04,1952-09-13
None,Dynamo Kyiv,URS,1,1325.04370117,1952-09-14,1952-09-19
None,Dynamo Kyiv,URS,1,1333.14709473,1952-09-20,1952-09-28
None,Dynamo Kyiv,URS,1,1352.23950195,1952-09-29,1953-04-19
None,Dynamo Kyiv,URS,1,1358.01208496,1953-04-20,1953-04-26
None,Dynamo Kyiv,URS,1,1365.66540527,1953-04-27,1953-05-03
None,Dynamo Kyiv,URS,1,1371.72045898,1953-05-04,1953-05-10
None,Dynamo Kyiv,URS,1,1363.09887695,1953-05-11,1953-05-17
None,Dynamo Kyiv,URS,1,1361.30761719,1953-05-18,1953-05-23
None,Dynamo Kyiv,URS,1,1354.03186035,1953-05-24,1953-05-27
None,Dynamo Kyiv,URS,1,1345.88867188,1953-05-28,1953-05-31
None,Dynamo Kyiv,URS,1,1342.73425293,1953-06-01,1953-06-09
None,Dynamo Kyiv,URS,1,1340.74194336,1953-06-10,1953-06-14
None,Dynamo Kyiv,URS,1,1332.28442383,1953-06-15,1953-06-20
None,Dynamo Kyiv,URS,1,1322.13586426,1953-06-21,1953-06-25
None,Dynamo Kyiv,URS,1,1316.37219238,1953-06-26,1953-07-02
None,Dynamo Kyiv,URS,1,1310.56896973,1953-07-03,1953-07-09
None,Dynamo Kyiv,URS,1,1318.74084473,1953-07-10,1953-07-26
None,Dynamo Kyiv,URS,1,1309.73632812,1953-07-27,1953-08-02
None,Dynamo Kyiv,URS,1,1318.33337402,1953-08-03,1953-08-12
None,Dynamo Kyiv,URS,1,1313.20080566,1953-08-13,1953-08-18
None,Dynamo Kyiv,URS,1,1306.74182129,1953-08-19,1953-08-23
None,Dynamo Kyiv,URS,1,1315.48132324,1953-08-24,1953-08-30
None,Dynamo Kyiv,URS,1,1325.59301758,1953-08-31,1953-09-13
None,Dynamo Kyiv,URS,1,1326.61450195,1953-09-14,1954-04-04
None,Dynamo Kyiv,URS,1,1327.24523926,1954-04-05,1954-04-11
None,Dynamo Kyiv,URS,1,1333.0402832,1954-04-12,1954-04-16
None,Dynamo Kyiv,URS,1,1323.98193359,1954-04-17,1954-04-21
None,Dynamo Kyiv,URS,1,1335.6217041,1954-04-22,1954-04-25
None,Dynamo Kyiv,URS,1,1332.16992188,1954-04-26,1954-05-06
None,Dynamo Kyiv,URS,1,1346.9855957,1954-05-07,1954-05-11
None,Dynamo Kyiv,URS,1,1346.67126465,1954-05-12,1954-05-16
None,Dynamo Kyiv,URS,1,1352.18994141,1954-05-17,1954-05-21
None,Dynamo Kyiv,URS,1,1352.33117676,1954-05-22,1954-05-25
None,Dynamo Kyiv,URS,1,1347.11303711,1954-05-26,1954-05-31
None,Dynamo Kyiv,URS,1,1340.30126953,1954-06-01,1954-06-05
None,Dynamo Kyiv,URS,1,1346.84460449,1954-06-06,1954-06-11
None,Dynamo Kyiv,URS,1,1354.27612305,1954-06-12,1954-06-15
None,Dynamo Kyiv,URS,1,1365.95910645,1954-06-16,1954-06-26
None,Dynamo Kyiv,URS,1,1349.11071777,1954-06-27,1954-07-01
None,Dynamo Kyiv,URS,1,1346.9276123,1954-07-02,1954-07-06
None,Dynamo Kyiv,URS,1,1340.66662598,1954-07-07,1954-08-04
None,Dynamo Kyiv,URS,1,1349.43188477,1954-08-05,1954-08-08
None,Dynamo Kyiv,URS,1,1339.63671875,1954-08-09,1954-08-14
None,Dynamo Kyiv,URS,1,1341.62072754,1954-08-15,1954-08-24
None,Dynamo Kyiv,URS,1,1329.53027344,1954-08-25,1954-09-01
None,Dynamo Kyiv,URS,1,1331.3203125,1954-09-02,1954-09-04
None,Dynamo Kyiv,URS,1,1333.08605957,1954-09-05,1954-09-07
None,Dynamo Kyiv,URS,1,1337.99084473,1954-09-08,1954-09-09
None,Dynamo Kyiv,URS,1,1362.99084473,1954-09-10,1954-09-27
None,Dynamo Kyiv,URS,1,1370.99084473,1954-09-28,1955-02-09
None,Dynamo Kyiv,URS,1,1385.99084473,1955-02-10,1955-03-02
None,Dynamo Kyiv,URS,1,1398.99084473,1955-03-03,1955-03-03
None,Dynamo Kyiv,URS,1,1410.99084473,1955-03-04,1955-04-10
None,Dynamo Kyiv,URS,1,1413.07299805,1955-04-11,1955-04-17
None,Dynamo Kyiv,URS,1,1399.98425293,1955-04-18,1955-04-24
None,Dynamo Kyiv,URS,1,1397.49816895,1955-04-25,1955-05-02
None,Dynamo Kyiv,URS,1,1394.20507812,1955-05-03,1955-05-08
None,Dynamo Kyiv,URS,1,1395.86779785,1955-05-09,1955-05-15
None,Dynamo Kyiv,URS,1,1402.96826172,1955-05-16,1955-05-20
None,Dynamo Kyiv,URS,1,1408.52758789,1955-05-21,1955-05-29
None,Dynamo Kyiv,URS,1,1398.02294922,1955-05-30,1955-06-12
None,Dynamo Kyiv,URS,1,1409.24865723,1955-06-13,1955-06-19
None,Dynamo Kyiv,URS,1,1417.2175293,1955-06-20,1955-07-01
None,Dynamo Kyiv,URS,1,1447.2175293,1955-07-02,1955-07-10
None,Dynamo Kyiv,URS,1,1447.67175293,1955-07-11,1955-07-14
None,Dynamo Kyiv,URS,1,1450.06359863,1955-07-15,1955-07-28
None,Dynamo Kyiv,URS,1,1441.07470703,1955-07-29,1955-08-02
None,Dynamo Kyiv,URS,1,1431.07922363,1955-08-03,1955-08-07
None,Dynamo Kyiv,URS,1,1437.22680664,1955-08-08,1955-08-12
None,Dynamo Kyiv,URS,1,1442.81005859,1955-08-13,1955-08-22
None,Dynamo Kyiv,URS,1,1456.81005859,1955-08-23,1955-08-26
None,Dynamo Kyiv,URS,1,1450.20996094,1955-08-27,1955-08-30
None,Dynamo Kyiv,URS,1,1459.04724121,1955-08-31,1955-09-06
None,Dynamo Kyiv,URS,1,1447.61584473,1955-09-07,1955-09-10
None,Dynamo Kyiv,URS,1,1447.79736328,1955-09-11,1955-09-13
None,Dynamo Kyiv,URS,1,1441.52197266,1955-09-14,1955-09-17
None,Dynamo Kyiv,URS,1,1446.52197266,1955-09-18,1955-09-25
None,Dynamo Kyiv,URS,1,1454.31188965,1955-09-26,1955-09-28
None,Dynamo Kyiv,URS,1,1463.31188965,1955-09-29,1955-10-26
None,Dynamo Kyiv,URS,1,1461.31188965,1955-10-27,1956-04-01
None,Dynamo Kyiv,URS,1,1459.08337402,1956-04-02,1956-04-08
None,Dynamo Kyiv,URS,1,1463.61523438,1956-04-09,1956-04-15
None,Dynamo Kyiv,URS,1,1461.72937012,1956-04-16,1956-04-20
None,Dynamo Kyiv,URS,1,1454.38671875,1956-04-21,1956-04-25
None,Dynamo Kyiv,URS,1,1458.46191406,1956-04-26,1956-04-30
None,Dynamo Kyiv,URS,1,1457.14245605,1956-05-01,1956-05-06
None,Dynamo Kyiv,URS,1,1457.03686523,1956-05-07,1956-05-12
None,Dynamo Kyiv,URS,1,1459.68273926,1956-05-13,1956-05-17
None,Dynamo Kyiv,URS,1,1465.45288086,1956-05-18,1956-05-22
None,Dynamo Kyiv,URS,1,1455.52172852,1956-05-23,1956-05-24
None,Dynamo Kyiv,URS,1,1463.52172852,1956-05-25,1956-05-28
None,Dynamo Kyiv,URS,1,1474.0838623,1956-05-29,1956-06-13
None,Dynamo Kyiv,URS,1,1491.5637207,1956-06-14,1956-07-01
None,Dynamo Kyiv,URS,1,1497.04162598,1956-07-02,1956-07-02
None,Dynamo Kyiv,URS,1,1512.04162598,1956-07-03,1956-07-08
None,Dynamo Kyiv,URS,1,1500.64367676,1956-07-09,1956-07-13
None,Dynamo Kyiv,URS,1,1506.64367676,1956-07-14,1956-07-14
None,Dynamo Kyiv,URS,1,1521.17150879,1956-07-15,1956-07-19
None,Dynamo Kyiv,URS,1,1521.58569336,1956-07-20,1956-08-01
None,Dynamo Kyiv,URS,1,1528.58569336,1956-08-02,1956-09-10
None,Dynamo Kyiv,URS,1,1528.34899902,1956-09-11,1956-09-16
None,Dynamo Kyiv,URS,1,1543.34899902,1956-09-17,1956-09-24
None,Dynamo Kyiv,URS,1,1537.34899902,1956-09-25,1956-09-29
None,Dynamo Kyiv,URS,1,1535.67382812,1956-09-30,1956-10-02
None,Dynamo Kyiv,URS,1,1534.30993652,1956-10-03,1956-10-11
None,Dynamo Kyiv,URS,1,1542.2310791,1956-10-12,1956-10-21
None,Dynamo Kyiv,URS,1,1524.8795166,1956-10-22,1956-10-24
None,Dynamo Kyiv,URS,1,1517.8795166,1956-10-25,1956-11-04
None,Dynamo Kyiv,URS,1,1514.99475098,1956-11-05,1956-12-01
None,Dynamo Kyiv,URS,1,1489.99475098,1956-12-02,1956-12-02
None,Dynamo Kyiv,URS,1,1501.99475098,1956-12-03,1956-12-08
None,Dynamo Kyiv,URS,1,1513.99475098,1956-12-09,1956-12-09
None,Dynamo Kyiv,URS,1,1547.99475098,1956-12-10,1957-04-06
None,Dynamo Kyiv,URS,1,1539.12878418,1957-04-07,1957-04-11
None,Dynamo Kyiv,URS,1,1548.50598145,1957-04-12,1957-04-16
None,Dynamo Kyiv,URS,1,1547.67468262,1957-04-17,1957-04-21
None,Dynamo Kyiv,URS,1,1557.87536621,1957-04-22,1957-04-28
None,Dynamo Kyiv,URS,1,1559.49560547,1957-04-29,1957-05-03
None,Dynamo Kyiv,URS,1,1573.99536133,1957-05-04,1957-05-08
None,Dynamo Kyiv,URS,1,1579.71154785,1957-05-09,1957-05-13
None,Dynamo Kyiv,URS,1,1586.89331055,1957-05-14,1957-05-19
None,Dynamo Kyiv,URS,1,1593.42602539,1957-05-20,1957-05-31
None,Dynamo Kyiv,URS,1,1589.01831055,1957-06-01,1957-06-02
None,Dynamo Kyiv,URS,1,1581.01831055,1957-06-03,1957-06-11
None,Dynamo Kyiv,URS,1,1578.47265625,1957-06-12,1957-06-27
None,Dynamo Kyiv,URS,1,1584.47265625,1957-06-28,1957-07-03
None,Dynamo Kyiv,URS,1,1578.9987793,1957-07-04,1957-07-25
None,Dynamo Kyiv,URS,1,1590.9987793,1957-07-26,1957-07-28
None,Dynamo Kyiv,URS,1,1591.9987793,1957-07-29,1957-08-17
None,Dynamo Kyiv,URS,1,1600.9987793,1957-08-18,1957-09-06
None,Dynamo Kyiv,URS,1,1588.22338867,1957-09-07,1957-09-15
None,Dynamo Kyiv,URS,1,1586.99560547,1957-09-16,1957-09-21
None,Dynamo Kyiv,URS,1,1578.56286621,1957-09-22,1957-09-23
None,Dynamo Kyiv,URS,1,1595.56286621,1957-09-24,1957-09-30
None,Dynamo Kyiv,URS,1,1605.47802734,1957-10-01,1957-10-06
None,Dynamo Kyiv,URS,1,1590.64562988,1957-10-07,1957-10-11
None,Dynamo Kyiv,URS,1,1587.36206055,1957-10-12,1957-10-23
None,Dynamo Kyiv,URS,1,1555.36206055,1957-10-24,1957-10-27
None,Dynamo Kyiv,URS,1,1555.99621582,1957-10-28,1957-11-03
None,Dynamo Kyiv,URS,1,1561.54296875,1957-11-04,1957-11-13
None,Dynamo Kyiv,URS,1,1549.64453125,1957-11-14,1957-11-27
None,Dynamo Kyiv,URS,1,1557.33679199,1957-11-28,1958-03-23
None,Dynamo Kyiv,URS,1,1566.59729004,1958-03-24,1958-03-29
None,Dynamo Kyiv,URS,1,1569.01708984,1958-03-30,1958-04-04
None,Dynamo Kyiv,URS,1,1569.62902832,1958-04-05,1958-04-10
None,Dynamo Kyiv,URS,1,1569.53930664,1958-04-11,1958-04-15
None,Dynamo Kyiv,URS,1,1570.37695312,1958-04-16,1958-04-20
None,Dynamo Kyiv,URS,1,1585.30053711,1958-04-21,1958-04-26
None,Dynamo Kyiv,URS,1,1581.30200195,1958-04-27,1958-05-02
None,Dynamo Kyiv,URS,1,1572.97424316,1958-05-03,1958-06-11
None,Dynamo Kyiv,URS,1,1581.97424316,1958-06-12,1958-06-14
None,Dynamo Kyiv,URS,1,1621.97424316,1958-06-15,1958-06-22
None,Dynamo Kyiv,URS,1,1581.97424316,1958-06-23,1958-06-26
None,Dynamo Kyiv,URS,1,1570.66540527,1958-06-27,1958-07-01
None,Dynamo Kyiv,URS,1,1568.76403809,1958-07-02,1958-07-17
None,Dynamo Kyiv,URS,1,1561.36962891,1958-07-18,1958-08-01
None,Dynamo Kyiv,URS,1,1549.34313965,1958-08-02,1958-08-07
None,Dynamo Kyiv,URS,1,1554.4432373,1958-08-08,1958-08-20
None,Dynamo Kyiv,URS,1,1558.73583984,1958-08-21,1958-08-31
None,Dynamo Kyiv,URS,1,1571.73583984,1958-09-01,1958-09-05
None,Dynamo Kyiv,URS,1,1576.25134277,1958-09-06,1958-09-09
None,Dynamo Kyiv,URS,1,1586.14916992,1958-09-10,1958-09-15
None,Dynamo Kyiv,URS,1,1592.35180664,1958-09-16,1958-09-20
None,Dynamo Kyiv,URS,1,1586.80761719,1958-09-21,1958-09-29
None,Dynamo Kyiv,URS,1,1614.80761719,1958-09-30,1958-10-02
None,Dynamo Kyiv,URS,1,1619.63146973,1958-10-03,1958-10-11
None,Dynamo Kyiv,URS,1,1617.60900879,1958-10-12,1958-10-15
None,Dynamo Kyiv,URS,1,1632.06604004,1958-10-16,1958-10-25
None,Dynamo Kyiv,URS,1,1618.06604004,1958-10-26,1958-11-08
None,Dynamo Kyiv,URS,1,1614.65881348,1958-11-09,1959-04-19
None,Dynamo Kyiv,URS,1,1605.15783691,1959-04-20,1959-04-26
None,Dynamo Kyiv,URS,1,1591.09094238,1959-04-27,1959-05-09
None,Dynamo Kyiv,URS,1,1580.3527832,1959-05-10,1959-05-16
None,Dynamo Kyiv,URS,1,1577.59838867,1959-05-17,1959-05-23
None,Dynamo Kyiv,URS,1,1574.11303711,1959-05-24,1959-05-29
None,Dynamo Kyiv,URS,1,1566.94018555,1959-05-30,1959-06-28
None,Dynamo Kyiv,URS,1,1551.94018555,1959-06-29,1959-06-30
None,Dynamo Kyiv,URS,1,1544.96252441,1959-07-01,1959-07-05
None,Dynamo Kyiv,URS,1,1557.35742188,1959-07-06,1959-07-09
None,Dynamo Kyiv,URS,1,1569.63317871,1959-07-10,1959-07-13
None,Dynamo Kyiv,URS,1,1580.0123291,1959-07-14,1959-07-23
None,Dynamo Kyiv,URS,1,1587.0123291,1959-07-24,1959-07-24
None,Dynamo Kyiv,URS,1,1598.89819336,1959-07-25,1959-08-05
None,Dynamo Kyiv,URS,1,1589.89819336,1959-08-06,1959-08-08
None,Dynamo Kyiv,URS,1,1583.48730469,1959-08-09,1959-08-15
None,Dynamo Kyiv,URS,1,1584.54333496,1959-08-16,1959-08-24
None,Dynamo Kyiv,URS,1,1591.78540039,1959-08-25,1959-08-30
None,Dynamo Kyiv,URS,1,1589.74780273,1959-08-31,1959-09-07
None,Dynamo Kyiv,URS,1,1598.74780273,1959-09-08,1959-09-14
None,Dynamo Kyiv,URS,1,1571.74780273,1959-09-15,1959-09-18
None,Dynamo Kyiv,URS,1,1574.82910156,1959-09-19,1959-09-29
None,Dynamo Kyiv,URS,1,1604.82910156,1959-09-30,1959-10-04
None,Dynamo Kyiv,URS,1,1607.82910156,1959-10-05,1959-10-11
None,Dynamo Kyiv,URS,1,1603.48364258,1959-10-12,1959-10-17
None,Dynamo Kyiv,URS,1,1607.88098145,1959-10-18,1959-10-21
None,Dynamo Kyiv,URS,1,1613.4564209,1959-10-22,1959-10-27
None,Dynamo Kyiv,URS,1,1605.71154785,1959-10-28,1959-10-31
None,Dynamo Kyiv,URS,1,1598.25024414,1959-11-01,1959-11-04
98,Dynamo Kyiv,URS,1,1597.28649902,1959-11-05,1960-01-02
96,Dynamo Kyiv,URS,1,1597.28649902,1960-01-03,1960-01-10
99,Dynamo Kyiv,URS,1,1597.28649902,1960-01-11,1960-01-16
100,Dynamo Kyiv,URS,1,1597.28649902,1960-01-17,1960-01-17
99,Dynamo Kyiv,URS,1,1597.28649902,1960-01-18,1960-01-23
None,Dynamo Kyiv,URS,1,1597.28649902,1960-01-24,1960-01-24
100,Dynamo Kyiv,URS,1,1597.28649902,1960-01-25,1960-01-31
None,Dynamo Kyiv,URS,1,1597.28649902,1960-02-01,1960-02-06
98,Dynamo Kyiv,URS,1,1597.28649902,1960-02-07,1960-02-13
99,Dynamo Kyiv,URS,1,1597.28649902,1960-02-14,1960-02-21
100,Dynamo Kyiv,URS,1,1597.28649902,1960-02-22,1960-02-27
99,Dynamo Kyiv,URS,1,1597.28649902,1960-02-28,1960-02-28
97,Dynamo Kyiv,URS,1,1597.28649902,1960-02-29,1960-03-02
95,Dynamo Kyiv,URS,1,1597.28649902,1960-03-03,1960-03-05
97,Dynamo Kyiv,URS,1,1597.28649902,1960-03-06,1960-03-06
98,Dynamo Kyiv,URS,1,1597.28649902,1960-03-07,1960-04-02
97,Dynamo Kyiv,URS,1,1597.28649902,1960-04-03,1960-04-10
98,Dynamo Kyiv,URS,1,1596.62524414,1960-04-11,1960-04-13
None,Dynamo Kyiv,URS,1,1596.62524414,1960-04-14,1960-04-21
87,Dynamo Kyiv,URS,1,1608.86022949,1960-04-22,1960-04-23
86,Dynamo Kyiv,URS,1,1608.86022949,1960-04-24,1960-04-27
74,Dynamo Kyiv,URS,1,1620.43029785,1960-04-28,1960-04-30
73,Dynamo Kyiv,URS,1,1620.43029785,1960-05-01,1960-05-01
74,Dynamo Kyiv,URS,1,1620.43029785,1960-05-02,1960-05-02
90,Dynamo Kyiv,URS,1,1607.15686035,1960-05-03,1960-05-05
94,Dynamo Kyiv,URS,1,1607.15686035,1960-05-06,1960-05-07
93,Dynamo Kyiv,URS,1,1607.15686035,1960-05-08,1960-05-08
None,Dynamo Kyiv,URS,1,1586.74743652,1960-05-09,1960-05-13
None,Dynamo Kyiv,URS,1,1597.94482422,1960-05-14,1960-05-14
100,Dynamo Kyiv,URS,1,1597.94482422,1960-05-15,1960-05-20
None,Dynamo Kyiv,URS,1,1579.82019043,1960-05-21,1960-05-26
None,Dynamo Kyiv,URS,1,1587.81066895,1960-05-27,1960-06-02
None,Dynamo Kyiv,URS,1,1596.03833008,1960-06-03,1960-06-07
93,Dynamo Kyiv,URS,1,1606.76916504,1960-06-08,1960-06-11
94,Dynamo Kyiv,URS,1,1606.76916504,1960-06-12,1960-06-13
88,Dynamo Kyiv,URS,1,1613.94665527,1960-06-14,1960-06-14
87,Dynamo Kyiv,URS,1,1613.94665527,1960-06-15,1960-06-18
89,Dynamo Kyiv,URS,1,1613.94665527,1960-06-19,1960-06-19
93,Dynamo Kyiv,URS,1,1608.88562012,1960-06-20,1960-07-01
89,Dynamo Kyiv,URS,1,1613.22302246,1960-07-02,1960-07-02
88,Dynamo Kyiv,URS,1,1613.22302246,1960-07-03,1960-07-07
54,Dynamo Kyiv,URS,1,1654.60058594,1960-07-08,1960-07-12
41,Dynamo Kyiv,URS,1,1675.60058594,1960-07-13,1960-07-13
45,Dynamo Kyiv,URS,1,1665.67260742,1960-07-14,1960-07-19
40,Dynamo Kyiv,URS,1,1675.07214355,1960-07-20,1960-07-25
39,Dynamo Kyiv,URS,1,1680.33874512,1960-07-26,1960-07-30
38,Dynamo Kyiv,URS,1,1680.33874512,1960-07-31,1960-07-31
38,Dynamo Kyiv,URS,1,1684.2989502,1960-08-01,1960-08-06
35,Dynamo Kyiv,URS,1,1688.34570312,1960-08-07,1960-08-12
35,Dynamo Kyiv,URS,1,1694.7755127,1960-08-13,1960-08-14
34,Dynamo Kyiv,URS,1,1694.7755127,1960-08-15,1960-08-18
34,Dynamo Kyiv,URS,1,1696.7755127,1960-08-19,1960-08-23
30,Dynamo Kyiv,URS,1,1707.8828125,1960-08-24,1960-08-24
28,Dynamo Kyiv,URS,1,1707.8828125,1960-08-25,1960-08-28
30,Dynamo Kyiv,URS,1,1703.06640625,1960-08-29,1960-08-31
31,Dynamo Kyiv,URS,1,1703.06640625,1960-09-01,1960-09-03
32,Dynamo Kyiv,URS,1,1703.06640625,1960-09-04,1960-09-05
38,Dynamo Kyiv,URS,1,1684.06640625,1960-09-06,1960-09-09
34,Dynamo Kyiv,URS,1,1694.70947266,1960-09-10,1960-09-11
33,Dynamo Kyiv,URS,1,1694.70947266,1960-09-12,1960-09-17
37,Dynamo Kyiv,URS,1,1687.63049316,1960-09-18,1960-09-21
36,Dynamo Kyiv,URS,1,1687.63049316,1960-09-22,1960-09-24
33,Dynamo Kyiv,URS,1,1694.07092285,1960-09-25,1960-09-25
34,Dynamo Kyiv,URS,1,1694.07092285,1960-09-26,1960-10-01
31,Dynamo Kyiv,URS,1,1703.06982422,1960-10-02,1960-10-02
30,Dynamo Kyiv,URS,1,1703.06982422,1960-10-03,1960-10-07
35,Dynamo Kyiv,URS,1,1688.04846191,1960-10-08,1960-10-09
36,Dynamo Kyiv,URS,1,1688.04846191,1960-10-10,1960-10-12
32,Dynamo Kyiv,URS,1,1699.98144531,1960-10-13,1960-10-16
32,Dynamo Kyiv,URS,1,1691.98706055,1960-10-17,1960-10-23
34,Dynamo Kyiv,URS,1,1692.77282715,1960-10-24,1960-10-29
35,Dynamo Kyiv,URS,1,1692.77282715,1960-10-30,1960-10-30
33,Dynamo Kyiv,URS,1,1692.77282715,1960-10-31,1960-11-05
32,Dynamo Kyiv,URS,1,1692.77282715,1960-11-06,1960-11-06
